policy,previous_policy,perturbation_rate,sample,objective,access_cost,hit_ratio,local_hit_ratio,cooperative_hit_ratio,origin_miss_ratio,replication_cost,redundancy_cost,redundancy_ratio,relocation_cost,selected_policy
global_popularity,,0.1,11,23.8364736056779,20.13705825104433,0.43714534600867944,0.43714534600867944,0.0,0.56285465442959,5.0,0.1999675197018649,0.10416666666666655,0.0,
diversified_popularity,,0.1,0,2.7404856013486047,2.5487971386924007,0.986926054297429,0.1071122288186517,0.8798138254787773,0.013073945599090721,5.0,0.0050938034809002546,0.0025263444476474176,0.0,
diversified_popularity,,0.1,1,2.742054238645269,2.552126550045853,0.987245507647886,0.10733354365562692,0.8799119639922591,0.012754492571248728,5.0,0.004995982699967519,0.0025850935852528025,0.0,
diversified_popularity,,0.1,2,8.417422604396275,8.213165121106535,0.8136244140203215,0.08863055558564763,0.7249938584346738,0.1863755848413954,5.0,0.0057920824049856314,0.002719533642621061,0.0,
diversified_popularity,,0.1,3,2.971387040988485,2.761898520209642,0.9803511892936917,0.10829214006662369,0.872059049227068,0.01964880886953324,5.0,0.006082695598824632,0.0031115791212421536,0.0,
diversified_popularity,,0.1,4,2.757712306784328,2.5413905520924542,0.9871400396927799,0.10769516489419498,0.8794448747985849,0.01285995976803334,5.0,0.006462319705104086,0.0029596783232459086,0.0,
diversified_popularity,,0.1,5,2.7191229200642915,2.5213851143468595,0.9876341494535538,0.10719617595896125,0.8804379734945925,0.012365850203327443,5.0,0.005429878095412901,0.002590711387453658,0.0,
diversified_popularity,,0.1,6,2.7308926235431867,2.5476319435083132,0.986926054297429,0.1071122288186517,0.8798138254787773,0.013073945599090721,5.0,0.0046255933352707555,0.002276194108113262,0.0,
diversified_popularity,,0.1,7,2.726371334987343,2.547687812755434,0.9870316545453129,0.1030805489151842,0.8839511056301288,0.01296834546762208,5.0,0.004371306790661629,0.0022083292551629626,0.0,
diversified_popularity,,0.1,8,2.7386501018614196,2.5381705900915854,0.9872647876101028,0.10939399908400244,0.8778707885261005,0.012735212040651176,5.0,0.005582195098324131,0.0026577345263352078,0.0,
diversified_popularity,,0.1,9,2.9403366304607186,2.771563872883407,0.9809818635009887,0.10197119266890428,0.8790106708320844,0.019018136170309258,5.0,0.0038207087542950924,0.002053699415591575,0.0,
diversified_popularity,,0.1,10,2.7440597849182464,2.567846474833969,0.9874352067708969,0.08966460386808547,0.8977706029028114,0.0125647925823513,5.0,0.004234072782459878,0.0021672120851513937,0.0,
